Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Orange_JobTitles,Chrome 71.0.3578.98,,2019-01-06 14:42:20,2019-01-06 14:42:37,16.272s,PASSED
,,,,,,
Test Cases/Orange_Website/Login Screen,Chrome 71.0.3578.98,,2019-01-06 14:42:21,2019-01-06 14:42:32,11.602s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/index.php/auth/login"")",Chrome 71.0.3578.98,,2019-01-06 14:42:21,2019-01-06 14:42:29,8.016s,PASSED
"setText(findTestObject(""Orange/Login/Username""), ""Admin"")",Chrome 71.0.3578.98,,2019-01-06 14:42:29,2019-01-06 14:42:30,0.333s,PASSED
"setText(findTestObject(""Orange/Login/Password""), ""admin123"")",Chrome 71.0.3578.98,,2019-01-06 14:42:30,2019-01-06 14:42:30,0.150s,PASSED
"click(findTestObject(""Orange/Login/Login""))",Chrome 71.0.3578.98,,2019-01-06 14:42:30,2019-01-06 14:42:32,2.525s,PASSED
,,,,,,
Test Cases/Orange_Website/JobTitles_Screen2,Chrome 71.0.3578.98,,2019-01-06 14:42:32,2019-01-06 14:42:37,4.148s,PASSED
"click(findTestObject(""Orange/Navigation/MNULST_Admin""))",Chrome 71.0.3578.98,,2019-01-06 14:42:33,2019-01-06 14:42:34,1.075s,PASSED
"click(findTestObject(""Orange/Navigation/MNUITM_Job""))",Chrome 71.0.3578.98,,2019-01-06 14:42:34,2019-01-06 14:42:34,0.123s,PASSED
"click(findTestObject(""Orange/Navigation/MNUITM_JobTitles""))",Chrome 71.0.3578.98,,2019-01-06 14:42:34,2019-01-06 14:42:35,0.812s,PASSED
"ExpectedValue = ""Sales Executive""",Chrome 71.0.3578.98,Expected value from Table,2019-01-06 14:42:35,2019-01-06 14:42:35,0.003s,PASSED
ndriver = getWebDriver(),Chrome 71.0.3578.98,,2019-01-06 14:42:35,2019-01-06 14:42:35,0.011s,PASSED
"Table = ndriver.findElement(By.id(""resultTable""))",Chrome 71.0.3578.98,To locate table,2019-01-06 14:42:35,2019-01-06 14:42:35,0.066s,PASSED
"Rows = Table.findElements(By.tagName(""tr""))",Chrome 71.0.3578.98,To locate rows of table it will Capture all the rows available in the table ,2019-01-06 14:42:35,2019-01-06 14:42:35,0.054s,PASSED
"println(""No. of rows: "" + Rows.size())",Chrome 71.0.3578.98,,2019-01-06 14:42:35,2019-01-06 14:42:35,0.006s,PASSED
"""Find a matching text in a table and performing action""",Chrome 71.0.3578.98,,2019-01-06 14:42:35,2019-01-06 14:42:35,0.001s,PASSED
"for ([i = 0, i < Rows.size(), (i++)])",Chrome 71.0.3578.98,Loop will execute for all the rows of the table,2019-01-06 14:42:35,2019-01-06 14:42:37,1.591s,PASSED
